datetime,open,high,low,close,volume
2021-12-15 21:30:00,201.0,202.6,198.635,202.55,2193723.0
2021-12-16 21:30:00,205.0,208.229,204.65,206.17,2856763.0
2021-12-17 21:30:00,204.95,205.25,201.23,201.37,6090692.0
2021-12-20 21:30:00,197.55,197.55,193.06,195.46,3605081.0
2021-12-21 21:30:00,197.0,199.02,196.74,198.31,2303378.0
2021-12-22 21:30:00,200.98,203.4039,200.83,202.15,3558681.0
2021-12-23 21:30:00,203.42,207.3,203.29,206.2,2669627.0
2021-12-27 21:30:00,205.94,206.9,205.14,206.38,1711554.0
2021-12-28 21:30:00,206.18,208.26,206.14,206.62,1393179.0
2021-12-29 21:30:00,206.27,208.55,206.08,207.33,1334998.0
2021-12-30 21:30:00,207.33,208.91,205.93,206.08,1465937.0
2021-12-31 21:30:00,206.2,207.74,205.67,206.74,1374493.0
2022-01-03 21:30:00,207.33,208.6,205.8001,207.0,2056574.0
2022-01-04 21:30:00,208.28,218.92,207.94,218.08,5242311.0
2022-01-05 21:30:00,218.18,223.36,218.18,219.75,5378170.0
2022-01-06 21:30:00,221.49,222.705,218.06,221.99,3913240.0
2022-01-07 21:30:00,222.5,225.97,222.23,224.19,3673408.0
2022-01-10 21:30:00,224.95,225.7532,220.6114,221.64,3734923.0
2022-01-11 21:30:00,222.0,222.09,216.59,219.95,2944280.0
2022-01-12 21:30:00,222.12,223.69,220.07,222.4,2506917.0
2022-01-13 21:30:00,222.89,227.88,222.64,227.0,5002349.0
2022-01-14 21:30:00,224.72,229.64,223.5819,228.94,3970581.0
2022-01-18 21:30:00,227.71,230.43,226.86,229.87,5413526.0
2022-01-19 21:30:00,229.66,229.81,220.93,221.66,4991706.0
2022-01-20 21:30:00,221.08,221.87,216.04,216.63,3545647.0
2022-01-21 21:30:00,217.51,217.51,212.4196,214.09,3754746.0
2022-01-24 21:30:00,211.16,214.97,206.66,214.33,5108332.0
2022-01-25 21:30:00,212.08,216.83,207.1,214.31,4554269.0
2022-01-26 21:30:00,215.0,218.88,212.24,214.29,3558514.0
2022-01-27 21:30:00,215.21,217.9,210.15,212.17,3683378.0
2022-01-28 21:30:00,205.59,208.0,196.8,201.16,10747251.0
2022-01-31 21:30:00,199.45,201.6,194.68,201.56,6178996.0
2022-02-01 21:30:00,200.8,205.79,200.5371,205.35,4026634.0
2022-02-02 21:30:00,203.2,205.8,201.4,204.94,3492301.0
2022-02-03 21:30:00,205.0,205.87,200.09,200.59,2748216.0
2022-02-04 21:30:00,200.21,201.005,196.49,198.41,3930776.0
2022-02-07 21:30:00,198.84,201.53,198.0253,199.82,2402040.0
2022-02-08 21:30:00,200.26,202.31,199.23,201.5,2407233.0
2022-02-09 21:30:00,202.64,204.1,202.086,203.6,2743749.0
2022-02-10 21:30:00,202.57,206.75,201.56,203.07,3538497.0
2022-02-11 21:30:00,203.42,204.65,200.13,201.24,3826746.0
2022-02-14 21:30:00,200.95,201.7,198.11,199.89,2730533.0
2022-02-15 21:30:00,200.7,204.45,200.0096,203.41,2752883.0
2022-02-16 21:30:00,203.11,205.415,203.0,203.64,2254146.0
2022-02-17 21:30:00,201.0,201.76,194.44,194.74,4699629.0
2022-02-18 21:30:00,193.36,195.62,191.175,191.95,4385219.0
2022-02-22 21:30:00,191.95,194.9,190.55,191.21,3487950.0
2022-02-23 21:30:00,191.72,192.319,186.37,186.67,3550352.0
2022-02-24 21:30:00,182.03,185.27,179.67,184.69,5919467.0
2022-02-25 21:30:00,184.94,187.925,184.12,187.06,3594597.0
2022-02-28 21:30:00,184.34,188.77,183.673,187.58,5168542.0
2022-03-01 21:30:00,187.77,188.22,180.64,182.83,5110599.0
2022-03-02 21:30:00,185.2,193.56,185.0,192.61,5849898.0
2022-03-03 21:30:00,193.32,196.58,192.34,194.85,4429733.0
2022-03-04 21:30:00,191.1,196.01,190.311,195.66,4334724.0
2022-03-07 21:30:00,194.79,203.5,193.6233,196.7,6912345.0
2022-03-08 21:30:00,203.87,214.89,203.0,210.0,9318635.0
2022-03-09 21:30:00,212.57,213.6,207.45,209.78,4798346.0
2022-03-10 21:30:00,209.39,217.5201,208.18,211.79,4886260.0
2022-03-11 21:30:00,212.3,217.77,212.3,214.83,4045469.0
2022-03-14 20:30:00,216.3,218.4825,212.93,215.44,3530852.0
2022-03-15 20:30:00,216.12,217.38,210.51,216.46,4364197.0
2022-03-16 20:30:00,217.5,219.49,212.32,216.08,4378696.0
2022-03-17 20:30:00,215.32,221.78,214.34,221.7,3600411.0
2022-03-18 20:30:00,219.48,221.7,218.0,220.91,4105116.0
2022-03-21 20:30:00,221.0,227.05,220.99,223.71,2902157.0
2022-03-22 20:30:00,224.46,225.85,221.3375,222.71,2461494.0
2022-03-23 20:30:00,221.69,224.78,221.69,222.17,2001683.0
2022-03-24 20:30:00,222.54,225.0,221.51,222.21,2110867.0
2022-03-25 20:30:00,222.09,223.8,221.14,223.36,1581139.0
2022-03-28 20:30:00,222.34,222.68,219.04,221.85,3072496.0
2022-03-29 20:30:00,220.8,221.43,216.54,221.04,3667796.0
2022-03-30 20:30:00,222.0,225.8799,220.7,223.08,2507574.0
2022-03-31 20:30:00,223.21,225.19,222.43,222.82,3152202.0
2022-04-01 20:30:00,224.35,225.52,218.165,219.77,2618304.0
2022-04-04 20:30:00,219.16,221.3535,216.6,220.81,2181439.0
2022-04-05 20:30:00,220.0,222.37,215.14,216.02,3582110.0
2022-04-06 20:30:00,215.12,217.13,213.545,216.21,2783265.0
2022-04-07 20:30:00,215.46,216.31,213.5599,215.9,2253777.0
2022-04-08 20:30:00,215.79,217.875,214.03,217.03,2450251.0
2022-04-11 20:30:00,217.03,218.76,215.75,216.05,2494683.0
2022-04-12 20:30:00,215.45,219.479,214.98,216.7,2508300.0
2022-04-13 20:30:00,216.93,219.68,216.4,218.27,1899033.0
2022-04-14 20:30:00,219.91,229.215,218.61,227.81,5337892.0
2022-04-18 20:30:00,228.0,234.375,228.0,229.92,3643982.0
2022-04-19 20:30:00,230.25,232.94,227.57,232.16,2689367.0
2022-04-20 20:30:00,233.55,236.37,232.58,235.08,2907678.0
2022-04-21 20:30:00,237.24,237.9,231.65,232.57,3571429.0
2022-04-22 20:30:00,228.4,229.79,215.6,216.3,5053696.0
2022-04-25 20:30:00,215.31,217.0,209.57,216.7,4145466.0
2022-04-26 20:30:00,216.13,218.2,209.35,210.3,4176665.0
2022-04-27 20:30:00,211.11,215.55,207.3,213.96,3358258.0
2022-04-28 20:30:00,207.425,212.96,202.0,212.44,6094275.0
2022-04-29 20:30:00,212.7,217.21,210.16,210.54,3404011.0
2022-05-02 20:30:00,210.0,212.765,207.6601,212.07,2639509.0
2022-05-03 20:30:00,211.9,215.3636,210.79,213.62,2121130.0
2022-05-04 20:30:00,214.95,223.29,213.825,222.59,3023650.0
2022-05-05 20:30:00,222.4,223.15,213.77,215.93,3005558.0
2022-05-06 20:30:00,217.01,217.01,210.35,214.65,2268402.0
2022-05-09 20:30:00,212.03,212.05,205.44,206.29,2929874.0
2022-05-10 20:30:00,208.24,209.52,201.39,202.99,3040550.0
2022-05-11 20:30:00,205.56,209.71,203.59,205.21,2552410.0
2022-05-12 20:30:00,203.61,205.34,199.295,203.03,3282072.0
2022-05-13 20:30:00,205.15,206.46,202.92,204.33,2323800.0
2022-05-16 20:30:00,205.02,209.21,203.68,207.19,2540976.0
2022-05-17 20:30:00,212.8,213.77,209.14,213.09,2275933.0
2022-05-18 20:30:00,213.84,217.9,207.52,207.94,4723284.0
2022-05-19 20:30:00,205.86,209.28,201.705,206.76,2887724.0
2022-05-20 20:30:00,206.45,206.63,194.04,197.82,5404500.0
2022-05-23 20:30:00,199.93,205.49,199.16,204.15,3246553.0
2022-05-24 20:30:00,202.01,205.7,201.29,205.65,2467967.0
2022-05-25 20:30:00,205.0,210.09,204.82,209.31,3080246.0
2022-05-26 20:30:00,211.55,213.635,210.4,212.99,2015957.0
2022-05-27 20:30:00,215.0,217.63,214.16,217.14,2020431.0
2022-05-31 20:30:00,214.79,218.09,213.49,215.85,3773508.0
2022-06-01 20:30:00,218.46,219.0,214.3,217.57,2314030.0
2022-06-02 20:30:00,219.59,220.84,217.25,220.0,1784213.0
2022-06-03 20:30:00,218.25,224.1,218.25,222.9,2222739.0
2022-06-06 20:30:00,222.9,224.763,222.25,223.63,1565510.0
2022-06-07 20:30:00,222.0,227.27,221.65,227.1,1799081.0
2022-06-08 20:30:00,225.29,232.35,224.62,229.8,4171344.0
2022-06-09 20:30:00,227.43,228.211,223.62,223.67,3047339.0
2022-06-10 20:30:00,219.5,220.22,215.01,215.18,2605398.0
2022-06-13 20:30:00,209.58,209.87,204.9,206.88,3559596.0
2022-06-14 20:30:00,208.06,209.73,205.27,206.69,2359013.0
2022-06-15 20:30:00,207.48,208.65,203.13,206.0,2343231.0
2022-06-16 20:30:00,201.07,201.25,193.25,194.79,4789903.0
2022-06-17 20:30:00,195.68,197.74,190.87,192.64,7226161.0
2022-06-21 20:30:00,197.1,198.42,193.87,196.37,2755355.0
2022-06-22 20:30:00,190.0,192.79,187.705,187.83,4012246.0
2022-06-23 20:30:00,186.58,187.23,176.02,178.67,6667926.0
2022-06-24 20:30:00,181.34,185.6,179.37,185.49,4868921.0
2022-06-27 20:30:00,188.08,190.08,185.82,187.59,3061090.0
2022-06-28 20:30:00,189.97,193.1,187.43,187.44,3327704.0
2022-06-29 20:30:00,187.32,187.57,182.13,183.48,2436919.0
2022-06-30 20:30:00,180.26,182.14,177.12,178.76,4197106.0
2022-07-01 20:30:00,179.31,181.32,173.72,178.29,3423158.0
2022-07-05 20:30:00,173.77,174.42,170.595,173.76,3725409.0
2022-07-06 20:30:00,173.48,174.67,169.29,172.31,3190582.0
2022-07-07 20:30:00,182.5,182.5,176.3301,180.28,4677626.0
2022-07-08 20:30:00,180.23,181.24,176.39,179.1,2491087.0
2022-07-11 20:30:00,177.41,179.77,174.62,175.02,2773877.0
2022-07-12 20:30:00,174.74,177.24,172.6,174.49,2718396.0
2022-07-13 20:30:00,172.25,175.25,171.86,173.87,2389041.0
2022-07-14 20:30:00,169.75,170.7,167.08,169.94,2531232.0
2022-07-15 20:30:00,172.25,173.38,169.2,173.38,2282108.0
2022-07-18 20:30:00,176.13,176.7,172.71,173.49,2476409.0
2022-07-19 20:30:00,173.9,179.695,172.884,179.49,2671398.0
2022-07-20 20:30:00,178.78,180.8,177.065,179.97,2176090.0
2022-07-21 20:30:00,178.42,181.07,176.48,180.99,2214529.0
2022-07-22 20:30:00,181.49,182.8,177.34,178.62,1961489.0
2022-07-25 20:30:00,179.17,182.6,177.765,181.81,1845604.0
2022-07-26 20:30:00,181.16,183.645,180.58,181.23,1767673.0
2022-07-27 20:30:00,182.92,186.18,180.32,185.25,1856625.0
2022-07-28 20:30:00,186.85,189.52,184.2,187.84,2229204.0
2022-07-29 20:30:00,189.19,199.49,189.12,198.25,5188148.0
2022-08-01 20:30:00,195.08,197.19,193.4,194.86,3185132.0
2022-08-02 20:30:00,188.0,189.47,183.16,183.51,8193096.0
2022-08-03 20:30:00,183.32,185.44,181.6,182.87,4155892.0
2022-08-04 20:30:00,182.86,185.9311,181.12,183.64,2478858.0
2022-08-05 20:30:00,183.58,186.1,183.23,185.39,1908521.0
2022-08-08 20:30:00,186.77,188.0,184.16,185.81,2655592.0
2022-08-09 20:30:00,185.95,187.88,185.16,186.03,2460002.0
2022-08-10 20:30:00,188.73,191.52,187.45,190.72,2304657.0
2022-08-11 20:30:00,192.83,195.58,191.91,194.0,2538990.0
2022-08-12 20:30:00,194.89,196.97,193.8,196.84,1864797.0
2022-08-15 20:30:00,193.4,196.5,193.07,195.95,1752584.0
2022-08-16 20:30:00,195.32,198.4,194.95,197.52,1959335.0
2022-08-17 20:30:00,195.0,196.9,193.87,195.93,1576440.0
2022-08-18 20:30:00,197.05,197.63,195.245,197.35,1750888.0
2022-08-19 20:30:00,195.27,197.22,193.81,195.6,2003565.0
2022-08-22 20:30:00,193.11,193.93,191.5512,191.76,2008855.0
2022-08-23 20:30:00,192.75,198.14,192.48,197.21,2445082.0
2022-08-24 20:30:00,197.56,198.68,193.45,194.16,2503442.0
2022-08-25 20:30:00,195.49,198.91,194.57,198.88,1888732.0
2022-08-26 20:30:00,199.4,200.3677,191.73,191.92,2560386.0
2022-08-29 20:30:00,190.0,193.169,189.0,191.78,1996590.0
2022-08-30 20:30:00,191.5,191.96,184.5924,186.94,2691218.0
2022-08-31 20:30:00,186.63,188.06,184.5,184.71,2656561.0
2022-09-01 20:30:00,182.27,183.21,180.1,182.44,2686280.0
2022-09-02 20:30:00,184.85,185.74,179.85,180.83,2185453.0
2022-09-06 20:30:00,182.9,183.66,179.59,180.66,2141693.0
2022-09-07 20:30:00,179.11,181.8384,178.19,180.86,2167029.0
2022-09-08 20:30:00,179.68,183.28,178.08,183.15,2245727.0
2022-09-09 20:30:00,187.55,189.76,187.215,189.49,2279841.0
2022-09-12 20:30:00,190.85,192.7,190.61,192.4,1937224.0
2022-09-13 20:30:00,187.85,190.05,183.5,184.31,2207621.0
2022-09-14 20:30:00,183.92,185.14,181.87,184.65,2295076.0
2022-09-15 20:30:00,184.67,186.5409,181.68,182.49,1933126.0
2022-09-16 20:30:00,180.0,180.34,177.765,179.47,5088335.0
2022-09-19 20:30:00,177.25,182.73,176.8,182.11,2923828.0
2022-09-20 20:30:00,180.59,180.72,176.311,177.99,2512363.0
2022-09-21 20:30:00,179.28,180.49,171.88,171.95,4061902.0
2022-09-22 20:30:00,172.7,174.62,170.29,170.55,2508351.0
2022-09-23 20:30:00,168.66,169.44,161.73,164.24,4047222.0
2022-09-26 20:30:00,164.0,165.8499,162.22,162.62,3213409.0
2022-09-27 20:30:00,164.46,164.568,160.6,162.44,2753514.0
2022-09-28 20:30:00,164.5,168.48,163.54,167.76,3694755.0
2022-09-29 20:30:00,165.7,166.59,163.54,165.9,3518214.0
2022-09-30 20:30:00,165.89,167.78,163.89,164.08,2963239.0
2022-10-03 20:30:00,167.43,173.365,166.05,171.23,3444727.0
2022-10-04 20:30:00,174.3,180.19,174.21,179.63,4008183.0
2022-10-05 20:30:00,177.15,180.26,176.6889,178.38,3067477.0
2022-10-06 20:30:00,177.41,180.98,176.89,178.81,2415113.0
2022-10-07 20:30:00,176.72,178.955,175.14,177.55,2759237.0
2022-10-10 20:30:00,179.81,181.16,176.07,178.67,2634055.0
2022-10-11 20:30:00,176.82,183.08,176.67,179.75,2542475.0
2022-10-12 20:30:00,179.48,181.12,178.78,179.5,2260826.0
2022-10-13 20:30:00,173.75,184.95,172.705,183.14,3745930.0
2022-10-14 20:30:00,183.75,184.33,177.53,178.19,2830734.0
2022-10-17 20:30:00,182.3,184.31,179.2,180.8,2940176.0
2022-10-18 20:30:00,184.9,185.53,180.91,183.55,2674034.0
2022-10-19 20:30:00,182.94,185.7,182.0,184.41,2088798.0
2022-10-20 20:30:00,184.54,185.74,180.46,180.54,2953856.0
2022-10-21 20:30:00,179.73,190.41,179.21,190.22,3483823.0
2022-10-24 20:30:00,188.65,192.14,188.45,191.3,2919594.0
2022-10-25 20:30:00,190.29,195.67,188.92,194.84,2545049.0
2022-10-26 20:30:00,198.3,199.58,194.57,196.96,3547951.0
2022-10-27 20:30:00,210.15,217.13,207.37,212.14,7872157.0
2022-10-28 20:30:00,212.5,219.5,211.21,219.34,5161042.0
2022-10-31 20:30:00,215.34,218.8688,215.01,216.46,3786144.0
2022-11-01 20:30:00,218.63,219.4687,216.71,218.5,2717516.0
2022-11-02 20:30:00,217.6,221.6961,213.93,214.54,3150919.0
2022-11-03 20:30:00,211.54,221.79,211.3581,219.26,3570445.0
2022-11-04 20:30:00,224.02,229.73,223.6,227.85,4973751.0
2022-11-07 21:30:00,228.0,229.13,222.67,228.61,3405597.0
2022-11-08 21:30:00,228.61,232.63,226.67,229.81,3676620.0
2022-11-09 21:30:00,226.07,229.135,225.0624,225.54,6248284.0
2022-11-10 21:30:00,232.22,232.59,226.33,232.45,4590846.0
2022-11-11 21:30:00,233.0,238.4,231.9983,236.49,3585442.0
2022-11-14 21:30:00,236.0,239.85,234.5,236.5,3217733.0
2022-11-15 21:30:00,237.1,239.4,232.745,234.59,3371100.0
2022-11-16 21:30:00,234.0,234.66,230.8375,232.42,3061954.0
2022-11-17 21:30:00,227.75,230.53,225.51,230.44,3257638.0
2022-11-18 21:30:00,230.85,231.84,227.63,231.43,2868714.0
2022-11-21 21:30:00,231.55,233.67,228.27,232.17,2522619.0
2022-11-22 21:30:00,234.0,237.48,233.36,237.26,2523669.0
2022-11-23 21:30:00,237.63,239.63,235.61,236.92,2311283.0
2022-11-25 21:30:00,237.0,237.49,235.19,235.7,1034795.0
2022-11-28 21:30:00,233.94,234.955,231.57,232.3,2862337.0
2022-11-29 21:30:00,233.3,235.73,231.55,235.12,2277925.0
2022-11-30 21:30:00,235.9,236.76,230.79,236.41,3849956.0
2022-12-01 21:30:00,236.9,237.0,231.94,235.69,2504686.0
2022-12-02 21:30:00,233.89,238.47,233.59,236.13,2218271.0
2022-12-05 21:30:00,234.8,235.91,232.26,232.57,2064513.0
2022-12-06 21:30:00,232.59,233.05,225.56,228.29,3633800.0
2022-12-07 21:30:00,227.0,229.84,225.78,228.98,3044194.0
2022-12-08 21:30:00,230.91,232.5,229.54,230.92,2189369.0
2022-12-09 21:30:00,232.0,232.81,227.19,227.29,2256976.0
2022-12-12 21:30:00,227.55,233.4,227.02,233.06,2709227.0
2022-12-13 21:30:00,237.82,237.92,232.13,235.49,2945191.0
2022-12-14 21:30:00,236.06,238.22,233.12,234.48,3513780.0
2022-12-15 21:30:00,232.16,232.93,227.72,230.66,2953761.0
2022-12-16 21:30:00,228.63,233.215,228.05,232.72,7610743.0
2022-12-19 21:30:00,233.9,236.93,230.93,232.29,2622367.0
2022-12-20 21:30:00,232.44,235.72,231.86,235.14,2649895.0
2022-12-21 21:30:00,237.66,241.9101,237.66,241.73,4143626.0
2022-12-22 21:30:00,240.15,240.8,233.04,237.54,3129995.0
2022-12-23 21:30:00,236.95,240.54,236.5,239.87,1960066.0
2022-12-27 21:30:00,240.69,245.05,239.7223,243.14,3381464.0
2022-12-28 21:30:00,243.14,243.82,238.275,239.38,2269966.0
2022-12-29 21:30:00,241.21,241.61,238.27,240.2,1652542.0
2022-12-30 21:30:00,239.39,240.16,237.7,239.56,1521214.0
2023-01-03 21:30:00,240.68,240.68,236.2,238.88,2651884.0
2023-01-04 21:30:00,240.0,242.13,238.55,241.36,2387868.0
2023-01-05 21:30:00,240.53,241.535,237.56,240.28,2355923.0
2023-01-06 21:30:00,242.89,249.91,242.24,248.86,3945070.0
2023-01-09 21:30:00,249.01,250.97,246.0,246.62,3417307.0
2023-01-10 21:30:00,246.95,250.84,246.45,250.51,3011934.0
2023-01-11 21:30:00,251.49,251.89,247.125,250.73,2402410.0
2023-01-12 21:30:00,252.0,257.3799,251.01,255.07,3881458.0
2023-01-13 21:30:00,256.8,258.575,255.23,258.46,3067830.0
2023-01-17 21:30:00,258.86,260.5,255.935,256.26,4100061.0
2023-01-18 21:30:00,257.28,258.9099,252.07,252.82,3361371.0
2023-01-19 21:30:00,250.48,251.25,244.3,245.75,4885201.0
2023-01-20 21:30:00,246.87,249.92,244.76,249.71,2964106.0
2023-01-23 21:30:00,250.75,253.68,249.27,252.7,2610238.0
2023-01-24 21:30:00,252.88,259.0474,249.75,257.61,3505069.0
2023-01-25 21:30:00,254.53,259.185,254.32,258.44,2424912.0
2023-01-26 21:30:00,260.0,262.26,256.8913,262.12,2677234.0
2023-01-27 21:30:00,262.46,266.04,262.12,264.54,2782988.0
2023-01-30 21:30:00,263.34,264.9999,261.31,261.5,3426868.0
2023-01-31 21:30:00,257.0,257.39,246.41,252.29,10992111.0
2023-02-01 21:30:00,251.75,252.7,245.31,249.54,6022012.0
2023-02-02 21:30:00,249.33,249.53,241.8,244.9,6130329.0
2023-02-03 21:30:00,244.0,250.95,243.1268,247.76,4134653.0
2023-02-06 21:30:00,248.11,252.14,248.0,251.42,3528766.0
2023-02-07 21:30:00,250.55,252.0,245.3503,249.66,3467883.0
2023-02-08 21:30:00,248.1,251.56,247.08,248.87,2300252.0
2023-02-09 21:30:00,250.0,251.97,245.48,246.28,2464903.0
2023-02-10 21:30:00,246.28,248.63,244.64,247.67,2820453.0
2023-02-13 21:30:00,243.5,248.38,242.65,248.15,3068116.0
2023-02-14 21:30:00,247.01,247.31,241.65,244.36,2512857.0
2023-02-15 21:30:00,244.2,248.77,243.225,248.7,2399236.0
2023-02-16 21:30:00,246.5,248.53,244.52,246.52,1934871.0
2023-02-17 21:30:00,247.86,250.86,245.63,247.79,3759290.0
2023-02-21 21:30:00,244.5,248.0,239.75,240.71,3105908.0
2023-02-22 21:30:00,241.19,242.23,236.42,237.89,3145185.0
2023-02-23 21:30:00,240.67,240.8297,235.6,237.95,3218961.0
2023-02-24 21:30:00,235.23,236.69,233.02,236.17,2105656.0
2023-02-27 21:30:00,239.1,241.25,238.72,239.98,1721039.0
2023-02-28 21:30:00,240.94,241.1,238.71,239.55,2647745.0
2023-03-01 21:30:00,242.01,249.7,241.57,248.67,4117683.0
2023-03-02 21:30:00,246.51,252.49,246.13,252.18,2678457.0
2023-03-03 21:30:00,252.39,255.4,249.91,255.31,2314730.0
2023-03-06 21:30:00,255.65,255.7,251.58,253.98,2317075.0
2023-03-07 21:30:00,254.05,254.75,245.9499,246.14,3018405.0
2023-03-08 21:30:00,247.99,251.11,246.75,248.72,2068605.0
2023-03-09 21:30:00,248.95,250.13,240.605,240.96,2518845.0
2023-03-10 21:30:00,236.31,238.13,225.8,227.01,5767526.0
2023-03-13 20:30:00,222.58,228.33,221.54,224.7,4885063.0
2023-03-14 20:30:00,228.99,229.59,222.2,225.67,3754946.0
2023-03-15 20:30:00,219.4,221.1834,212.57,217.26,5471675.0
2023-03-16 20:30:00,215.67,219.81,213.32,218.71,3555235.0
2023-03-17 20:30:00,217.4,217.4,211.43,215.01,7203047.0
2023-03-20 20:30:00,217.35,221.87,216.48,220.31,3464160.0
2023-03-21 20:30:00,224.06,226.0,223.61,224.92,3074835.0
2023-03-22 20:30:00,225.17,226.59,219.86,219.95,2930256.0
2023-03-23 20:30:00,220.51,225.3,217.6007,219.44,2957536.0
2023-03-24 20:30:00,216.85,217.43,213.14,217.01,2977746.0
2023-03-27 20:30:00,214.93,218.96,213.92,218.0,3209536.0
2023-03-28 20:30:00,218.15,220.56,217.71,220.16,1801975.0
2023-03-29 20:30:00,222.74,223.22,221.5009,223.0,1857436.0
2023-03-30 20:30:00,225.05,226.344,223.99,224.54,1921317.0
2023-03-31 20:30:00,226.38,229.055,224.9,228.84,2746909.0
2023-04-03 20:30:00,230.01,233.85,228.86,229.87,2242533.0
2023-04-04 20:30:00,228.9,229.49,216.25,217.45,4282098.0
2023-04-05 20:30:00,216.2,217.8791,211.55,213.53,4265252.0
2023-04-06 20:30:00,212.67,213.0,208.94,209.17,4180062.0
2023-04-10 20:30:00,210.22,216.09,209.32,215.53,3838965.0
2023-04-11 20:30:00,216.17,222.9,216.17,220.6,3882026.0
2023-04-12 20:30:00,222.15,223.215,219.89,220.5,2385141.0
2023-04-13 20:30:00,219.94,222.18,216.66,221.67,2909059.0
2023-04-14 20:30:00,222.99,225.83,221.44,223.68,2246904.0
2023-04-17 20:30:00,225.01,226.92,224.3,225.24,1751839.0
2023-04-18 20:30:00,225.56,227.5,224.06,225.2,2567096.0
2023-04-19 20:30:00,224.8,225.15,222.41,224.65,2078502.0
2023-04-20 20:30:00,222.42,224.22,220.93,222.27,2826825.0
2023-04-21 20:30:00,220.67,220.99,217.5,220.27,2712742.0
2023-04-24 20:30:00,220.53,223.685,220.53,223.43,2790653.0
2023-04-25 20:30:00,222.36,223.2288,218.27,218.63,2505596.0
2023-04-26 20:30:00,217.73,220.39,216.12,216.19,3254731.0
2023-04-27 20:30:00,210.48,216.08,204.04,214.33,7711149.0
2023-04-28 20:30:00,213.24,220.555,213.0,218.8,4669549.0
2023-05-01 20:30:00,219.342,221.96,216.53,217.27,2876412.0
2023-05-02 20:30:00,217.11,217.11,210.59,215.15,2857991.0
2023-05-03 20:30:00,215.64,219.17,214.86,215.64,2635075.0
2023-05-04 20:30:00,216.05,216.93,209.33,210.38,3211007.0
2023-05-05 20:30:00,213.59,215.68,212.4,215.09,2716550.0
2023-05-08 20:30:00,216.44,218.11,213.63,214.79,2414108.0
2023-05-09 20:30:00,213.74,215.3937,211.95,213.49,4111863.0
2023-05-10 20:30:00,215.43,215.99,210.19,213.17,2446106.0
2023-05-11 20:30:00,209.0,210.28,208.415,210.03,3263278.0
2023-05-12 20:30:00,211.71,212.55,207.93,209.54,2172580.0
2023-05-15 20:30:00,210.31,213.305,209.15,211.29,1925794.0
2023-05-16 20:30:00,210.05,210.265,207.05,207.2,2771733.0
2023-05-17 20:30:00,209.28,213.835,208.65,212.1,2897517.0
2023-05-18 20:30:00,211.0,215.66,210.23,214.72,2643586.0
2023-05-19 20:30:00,219.46,219.8894,212.95,214.78,4402093.0
2023-05-22 20:30:00,214.25,217.16,211.89,214.26,2540614.0
2023-05-23 20:30:00,213.2,215.26,211.35,212.71,2298512.0
2023-05-24 20:30:00,211.81,212.48,209.22,209.7,2963968.0
2023-05-25 20:30:00,209.69,211.785,208.6,209.98,2243773.0
2023-05-26 20:30:00,211.74,213.28,210.205,211.8,1973881.0
2023-05-30 20:30:00,211.18,212.89,208.25,209.9,2885893.0
2023-05-31 20:30:00,209.13,210.78,205.6,205.75,5936977.0
2023-06-01 20:30:00,207.68,210.57,206.04,209.07,2989150.0
2023-06-02 20:30:00,214.95,227.78,214.01,226.63,8358196.0
2023-06-05 20:30:00,226.99,227.58,220.75,222.47,3901238.0
2023-06-06 20:30:00,221.86,228.27,221.45,226.68,3230095.0
2023-06-07 20:30:00,227.81,236.36,226.28,235.55,5586408.0
2023-06-08 20:30:00,234.54,236.28,231.74,234.45,3548041.0
2023-06-09 20:30:00,235.7,235.81,231.43,235.03,2489663.0
2023-06-12 20:30:00,235.23,238.885,233.3201,237.9,3645004.0
2023-06-13 20:30:00,240.08,246.68,239.68,245.44,4335106.0
2023-06-14 20:30:00,246.8,248.32,241.57,243.32,3122386.0
2023-06-15 20:30:00,244.0,248.3782,243.48,247.67,2743898.0
2023-06-16 20:30:00,249.4,250.89,244.97,245.27,5261185.0
2023-06-20 20:30:00,242.33,243.215,240.55,241.15,2980704.0
2023-06-21 20:30:00,238.84,245.26,238.0313,241.48,2892473.0
2023-06-22 20:30:00,240.23,240.98,235.95,237.34,2423665.0
2023-06-23 20:30:00,234.44,235.86,231.28,234.44,3354027.0
2023-06-26 20:30:00,235.46,239.6225,235.125,236.95,1748332.0
2023-06-27 20:30:00,237.48,240.84,235.32,240.69,2283013.0
2023-06-28 20:30:00,239.29,242.05,237.86,241.87,2200056.0
2023-06-29 20:30:00,241.94,246.8628,241.37,244.24,2070085.0
2023-06-30 20:30:00,246.57,246.9344,243.89,246.05,2377993.0
2023-07-03 20:30:00,245.95,248.39,245.27,247.33,1045746.0
2023-07-05 20:30:00,245.0,247.5,244.1183,244.83,1820710.0
2023-07-06 20:30:00,242.75,243.87,238.84,240.58,3081719.0
2023-07-07 20:30:00,240.19,247.8,240.11,245.18,2903972.0
2023-07-10 20:30:00,244.51,249.36,244.09,248.81,2771882.0
2023-07-11 20:30:00,249.84,254.47,249.84,252.85,3294783.0
2023-07-12 20:30:00,255.49,257.64,251.44,253.6,2986445.0
2023-07-13 20:30:00,254.56,256.46,252.74,255.86,1949520.0
2023-07-14 20:30:00,256.48,256.48,252.91,255.62,1936998.0
2023-07-17 20:30:00,254.27,258.85,252.01,257.46,2674932.0
