datetime,open,high,low,close,volume
2021-12-16 21:30:00,61.44,62.45,61.3,61.37,21187783.0
2021-12-17 21:30:00,60.95,61.275,59.69,60.03,44454945.0
2021-12-20 21:30:00,58.79,59.25,57.96,59.16,21819305.0
2021-12-21 21:30:00,59.75,60.6808,59.72,60.5,19798891.0
2021-12-22 21:30:00,60.34,61.365,59.97,60.99,14058338.0
2021-12-23 21:30:00,61.17,61.84,61.0,61.02,13543291.0
2021-12-27 21:30:00,60.93,61.95,60.42,61.89,12596340.0
2021-12-28 21:30:00,61.91,62.31,61.4,61.69,12786873.0
2021-12-29 21:30:00,61.48,61.5983,60.915,61.15,12733601.0
2021-12-30 21:30:00,61.22,61.6,60.765,60.79,11940294.0
2021-12-31 21:30:00,60.74,61.47,60.7,61.19,14071965.0
2022-01-03 21:30:00,61.24,63.6,61.21,63.54,24290187.0
2022-01-04 21:30:00,64.13,66.185,64.1,65.93,38584046.0
2022-01-05 21:30:00,66.5,67.61,66.48,66.75,34033275.0
2022-01-06 21:30:00,68.0,68.48,67.07,68.32,30668514.0
2022-01-07 21:30:00,68.52,69.18,67.98,68.88,23985401.0
2022-01-10 21:30:00,68.97,69.17,67.95,68.47,22760316.0
2022-01-11 21:30:00,68.89,71.4,68.58,71.35,32936140.0
2022-01-12 21:30:00,71.14,71.81,70.64,71.14,23045051.0
2022-01-13 21:30:00,71.12,71.58,70.31,70.63,21043176.0
2022-01-14 21:30:00,70.65,72.145,70.6,71.87,23012866.0
2022-01-18 21:30:00,72.82,73.88,72.01,73.08,32862824.0
2022-01-19 21:30:00,73.75,73.86,72.55,73.11,26431636.0
2022-01-20 21:30:00,72.5,74.37,72.26,73.27,26774550.0
2022-01-21 21:30:00,73.18,73.18,71.04,72.17,35120462.0
2022-01-24 21:30:00,70.88,73.08,69.805,72.79,41576131.0
2022-01-25 21:30:00,72.59,75.235,71.39,74.93,39278417.0
2022-01-26 21:30:00,75.43,76.0,73.49,74.17,35252385.0
2022-01-27 21:30:00,75.46,76.01,73.985,75.12,29174687.0
2022-01-28 21:30:00,74.97,75.62,73.95,75.28,30595660.0
2022-01-31 21:30:00,74.97,76.42,74.265,75.96,36085479.0
2022-02-01 21:30:00,76.45,81.51,76.27,80.83,61033081.0
2022-02-02 21:30:00,80.06,80.81,79.15,80.62,30299322.0
2022-02-03 21:30:00,80.09,80.31,79.02,79.68,28529399.0
2022-02-04 21:30:00,80.87,82.53,80.87,81.41,32197543.0
2022-02-07 21:30:00,81.14,83.08,80.64,82.39,34949215.0
2022-02-08 21:30:00,82.27,82.4962,79.92,80.26,34356264.0
2022-02-09 21:30:00,79.58,80.03,78.7051,79.0,40106115.0
2022-02-10 21:30:00,78.72,79.68,77.792,78.24,28527663.0
2022-02-11 21:30:00,78.62,80.32,78.23,80.21,42002092.0
2022-02-14 21:30:00,79.58,79.84,77.05,78.98,34652780.0
2022-02-15 21:30:00,76.9,78.19,76.42,77.99,25089507.0
2022-02-16 21:30:00,78.79,79.73,78.04,78.35,21733753.0
2022-02-17 21:30:00,78.48,79.12,77.95,78.23,23738816.0
2022-02-18 21:30:00,77.16,78.17,76.89,77.36,23394776.0
2022-02-22 21:30:00,79.67,79.79,75.31,76.46,35947769.0
2022-02-23 21:30:00,76.46,77.47,76.13,76.77,25385006.0
2022-02-24 21:30:00,79.0,79.03,74.03,75.8,46199851.0
2022-02-25 21:30:00,76.69,77.99,76.26,77.84,28310258.0
2022-02-28 21:30:00,76.51,78.93,76.2,78.42,32204637.0
2022-03-01 21:30:00,78.77,80.65,78.33,79.17,40002342.0
2022-03-02 21:30:00,80.6,82.15,79.82,80.53,44321369.0
2022-03-03 21:30:00,79.86,81.77,79.63,81.04,30196611.0
2022-03-04 21:30:00,81.05,84.275,80.66,84.09,42844527.0
2022-03-07 21:30:00,84.92,87.23,83.9,87.12,55207908.0
2022-03-08 21:30:00,89.05,91.505,85.43,87.78,72082261.0
2022-03-09 21:30:00,84.03,86.57,81.6,82.79,65466651.0
2022-03-10 21:30:00,84.01,85.68,82.9,85.36,44644244.0
2022-03-11 21:30:00,84.07,86.23,83.97,84.92,35303368.0
2022-03-14 20:30:00,83.06,83.45,80.5,81.88,37462621.0
2022-03-15 20:30:00,78.82,79.17,76.37,77.22,47957901.0
2022-03-16 20:30:00,77.81,78.62,76.25,76.93,37812299.0
2022-03-17 20:30:00,78.18,79.15,77.07,78.98,34041918.0
2022-03-18 20:30:00,79.06,79.3898,78.1,78.67,41461477.0
2022-03-21 20:30:00,80.12,82.515,79.74,82.2,33089287.0
2022-03-22 20:30:00,81.63,82.2,80.79,81.84,23132202.0
2022-03-23 20:30:00,83.34,84.27,83.05,83.13,27716309.0
2022-03-24 20:30:00,83.46,84.6499,82.75,83.38,19871630.0
2022-03-25 20:30:00,82.92,85.49,82.79,85.2,22408177.0
2022-03-28 20:30:00,83.17,83.31,82.02,82.81,21552383.0
2022-03-29 20:30:00,80.81,82.49,79.76,82.37,27036251.0
2022-03-30 20:30:00,83.06,84.01,82.71,83.78,22079009.0
2022-03-31 20:30:00,82.87,84.4,82.55,82.59,27861456.0
2022-04-01 20:30:00,81.99,84.14,81.99,83.12,18671077.0
2022-04-04 20:30:00,83.56,83.66,82.05,83.16,20880035.0
2022-04-05 20:30:00,83.5,85.07,82.555,82.73,21753103.0
2022-04-06 20:30:00,83.42,84.7,82.94,83.65,24768200.0
2022-04-07 20:30:00,83.83,85.44,82.71,85.05,26121980.0
2022-04-08 20:30:00,85.17,87.21,85.17,86.84,24866507.0
2022-04-11 20:30:00,85.78,85.93,83.5,83.85,21800100.0
2022-04-12 20:30:00,85.71,86.82,85.375,85.6,22444175.0
2022-04-13 20:30:00,86.61,87.11,85.19,86.81,19306829.0
2022-04-14 20:30:00,86.67,88.46,86.2323,87.83,24566440.0
2022-04-18 20:30:00,88.5,88.89,87.75,88.55,19032299.0
2022-04-19 20:30:00,88.01,88.66,87.27,87.76,20382626.0
2022-04-20 20:30:00,87.97,88.5,87.3,87.96,20689408.0
2022-04-21 20:30:00,88.95,89.8,86.79,87.03,29010859.0
2022-04-22 20:30:00,86.66,88.12,85.0,85.13,23591604.0
2022-04-25 20:30:00,82.37,82.655,79.29,82.26,37698264.0
2022-04-26 20:30:00,82.73,84.72,82.18,82.29,28941487.0
2022-04-27 20:30:00,83.39,85.475,82.28,84.64,32773024.0
2022-04-28 20:30:00,84.88,88.135,84.07,87.2,33683758.0
2022-04-29 20:30:00,88.14,88.14,84.7,85.25,34656462.0
2022-05-02 20:30:00,85.01,87.035,84.63,86.41,36335203.0
2022-05-03 20:30:00,86.26,88.78,86.12,88.19,33908096.0
2022-05-04 20:30:00,89.5,91.88,88.91,91.7,46188367.0
2022-05-05 20:30:00,92.04,92.05,88.39,90.31,41013416.0
2022-05-06 20:30:00,90.98,91.815,89.35,91.69,29619347.0
2022-05-09 20:30:00,89.44,89.56,84.02,84.46,45851625.0
2022-05-10 20:30:00,85.64,86.89,83.515,85.02,34483209.0
2022-05-11 20:30:00,86.43,88.94,86.28,86.79,33020628.0
2022-05-12 20:30:00,85.95,86.38,83.4,86.3,29491522.0
2022-05-13 20:30:00,87.36,88.945,86.345,88.86,25798443.0
2022-05-16 20:30:00,88.98,91.975,88.97,90.95,26101216.0
2022-05-17 20:30:00,91.73,92.45,91.12,92.11,23120664.0
2022-05-18 20:30:00,92.51,92.92,89.83,90.65,25451243.0
2022-05-19 20:30:00,89.0,92.3,89.0,91.14,24387369.0
2022-05-20 20:30:00,91.93,93.59,90.4,91.86,28795031.0
2022-05-23 20:30:00,92.66,94.77,92.55,93.89,27239334.0
2022-05-24 20:30:00,92.82,94.79,92.32,94.4,24293327.0
2022-05-25 20:30:00,94.58,96.53,94.47,96.3,29947847.0
2022-05-26 20:30:00,96.6,97.43,96.2019,96.64,24314829.0
2022-05-27 20:30:00,95.945,97.93,95.3,97.59,25588794.0
2022-05-31 20:30:00,98.56,99.775,95.705,96.0,44888128.0
2022-06-01 20:30:00,97.02,98.7124,96.62,97.84,25815365.0
2022-06-02 20:30:00,97.29,98.1,96.79,97.67,19089105.0
2022-06-03 20:30:00,97.9,99.66,97.9,99.09,21038164.0
2022-06-06 20:30:00,99.18,99.78,98.67,98.84,20682050.0
2022-06-07 20:30:00,99.7,103.43,99.49,103.37,37810233.0
2022-06-08 20:30:00,103.49,105.57,102.98,104.59,31613155.0
2022-06-09 20:30:00,103.42,104.57,102.16,102.33,26634335.0
2022-06-10 20:30:00,101.94,103.35,99.79,100.46,30958348.0
2022-06-13 20:30:00,97.52,97.77,93.92,95.85,33421049.0
2022-06-14 20:30:00,97.41,98.67,95.2702,96.1,31264024.0
2022-06-15 20:30:00,95.99,96.57,93.27,94.89,29620780.0
2022-06-16 20:30:00,92.41,93.13,90.28,91.39,35696748.0
2022-06-17 20:30:00,90.96,91.35,85.655,86.12,64610192.0
2022-06-21 20:30:00,88.58,92.53,88.52,91.48,35951458.0
2022-06-22 20:30:00,87.54,89.76,87.53,87.86,29769627.0
2022-06-23 20:30:00,88.66,89.05,83.52,85.21,35757209.0
2022-06-24 20:30:00,86.95,88.4,85.81,86.9,26638991.0
2022-06-27 20:30:00,87.81,90.04,87.67,89.03,25478683.0
2022-06-28 20:30:00,91.12,93.24,90.35,91.5,33123000.0
2022-06-29 20:30:00,92.98,93.2,87.755,88.12,25400938.0
2022-06-30 20:30:00,86.14,87.6,84.67,85.64,39948066.0
2022-07-01 20:30:00,86.74,87.88,84.71,87.55,26327857.0
2022-07-05 20:30:00,86.34,86.7,83.01,84.81,34601325.0
2022-07-06 20:30:00,83.76,85.23,81.01,83.28,33375726.0
2022-07-07 20:30:00,85.38,86.76,85.3,85.94,23817363.0
2022-07-08 20:30:00,86.95,87.3,84.93,86.08,17673819.0
2022-07-11 20:30:00,85.17,86.12,84.3601,85.64,15608348.0
2022-07-12 20:30:00,83.78,85.05,82.86,84.5,21013014.0
2022-07-13 20:30:00,83.38,86.3126,83.3,84.84,19928602.0
2022-07-14 20:30:00,81.85,83.31,80.69,83.14,26343031.0
2022-07-15 20:30:00,84.8,84.88,82.9,84.54,17243749.0
2022-07-18 20:30:00,86.58,87.9387,85.75,86.1,19395810.0
2022-07-19 20:30:00,86.415,88.52,86.25,88.27,18248903.0
2022-07-20 20:30:00,87.58,89.65,87.25,89.24,16584414.0
2022-07-21 20:30:00,86.93,87.8,85.21,87.75,21375666.0
2022-07-22 20:30:00,87.55,88.47,86.63,87.08,15479475.0
2022-07-25 20:30:00,88.16,90.13,87.42,89.98,17536371.0
2022-07-26 20:30:00,91.13,91.28,89.0,89.63,15141195.0
2022-07-27 20:30:00,90.28,92.0,89.4,91.57,18046956.0
2022-07-28 20:30:00,92.18,93.25,91.01,92.64,20353087.0
2022-07-29 20:30:00,94.45,97.515,94.1,96.93,29825829.0
2022-08-01 20:30:00,94.79,95.35,93.23,94.48,20793152.0
2022-08-02 20:30:00,94.69,95.2,93.82,94.07,16722504.0
2022-08-03 20:30:00,94.42,94.42,90.79,91.02,23580814.0
2022-08-04 20:30:00,90.31,90.34,86.43,87.19,31821467.0
2022-08-05 20:30:00,86.36,89.69,86.28,88.45,17408032.0
2022-08-08 20:30:00,88.61,89.6,88.22,88.95,14467146.0
2022-08-09 20:30:00,90.05,91.61,89.95,90.59,19083427.0
2022-08-10 20:30:00,90.68,91.7901,89.185,91.45,18301995.0
2022-08-11 20:30:00,91.84,94.3,91.4391,93.19,18797867.0
2022-08-12 20:30:00,92.48,94.02,92.11,94.0,15058217.0
2022-08-15 20:30:00,90.53,92.73,89.66,92.32,20755230.0
2022-08-16 20:30:00,92.03,92.89,91.29,91.46,14038213.0
2022-08-17 20:30:00,91.27,93.21,90.92,92.2,13678045.0
2022-08-18 20:30:00,93.15,95.31,93.09,94.38,17770365.0
2022-08-19 20:30:00,94.16,95.2,93.8,94.08,16128557.0
2022-08-22 20:30:00,93.42,94.4889,91.86,94.01,16019928.0
2022-08-23 20:30:00,95.55,98.41,95.45,98.0,23764738.0
2022-08-24 20:30:00,98.01,98.965,97.36,98.58,17050307.0
2022-08-25 20:30:00,98.92,99.86,98.1003,99.09,15305729.0
2022-08-26 20:30:00,98.77,99.91,97.42,97.87,15531368.0
2022-08-29 20:30:00,98.18,101.555,98.14,100.12,23059214.0
2022-08-30 20:30:00,98.36,98.62,95.82,96.31,17086838.0
2022-08-31 20:30:00,94.03,96.84,93.59,95.59,18340884.0
2022-09-01 20:30:00,94.42,95.065,92.2901,93.87,16422987.0
2022-09-02 20:30:00,96.35,96.79,95.11,95.59,18206807.0
2022-09-06 20:30:00,96.16,96.59,94.51,94.95,19201532.0
2022-09-07 20:30:00,93.19,94.5919,92.3,94.14,16274657.0
2022-09-08 20:30:00,94.66,95.42,93.72,94.91,18759208.0
2022-09-09 20:30:00,96.52,97.0,95.32,96.5,17161438.0
2022-09-12 20:30:00,97.65,99.19,96.8765,97.61,16118943.0
2022-09-13 20:30:00,96.61,97.78,94.91,95.33,18229124.0
2022-09-14 20:30:00,96.19,98.56,96.15,97.67,22655682.0
2022-09-15 20:30:00,96.22,96.54,94.05,94.83,21092271.0
2022-09-16 20:30:00,95.07,95.34,92.0,93.21,37874705.0
2022-09-19 20:30:00,91.01,93.49,91.0,93.2,15342110.0
2022-09-20 20:30:00,92.73,92.925,91.64,92.44,14712518.0
2022-09-21 20:30:00,93.57,93.88,90.87,90.95,17332419.0
2022-09-22 20:30:00,92.2,92.66,90.52,90.57,16139391.0
2022-09-23 20:30:00,87.5,87.5,84.85,85.75,27738816.0
2022-09-26 20:30:00,84.9,86.22,83.89,83.98,22043356.0
2022-09-27 20:30:00,85.61,86.955,84.81,85.74,17307293.0
2022-09-28 20:30:00,86.12,89.2999,85.92,88.86,19543315.0
2022-09-29 20:30:00,88.18,89.3582,87.13,88.68,17896011.0
2022-09-30 20:30:00,88.17,89.04,87.31,87.31,21357564.0
2022-10-03 20:30:00,90.04,92.36,89.72,91.92,23881332.0
2022-10-04 20:30:00,93.24,95.36,92.71,95.27,22133711.0
2022-10-05 20:30:00,95.75,99.99,95.66,99.12,34857698.0
2022-10-06 20:30:00,98.47,102.18,98.33,102.06,29124717.0
2022-10-07 20:30:00,102.19,103.315,100.18,101.03,24507647.0
2022-10-10 20:30:00,101.49,102.03,98.72,98.84,16786088.0
2022-10-11 20:30:00,97.22,99.76,96.75,98.0,17804127.0
2022-10-12 20:30:00,97.5,98.91,97.23,98.43,12635769.0
2022-10-13 20:30:00,97.55,102.45,97.4,101.87,22019142.0
2022-10-14 20:30:00,101.12,102.24,99.04,99.19,15229626.0
2022-10-17 20:30:00,101.07,101.97,100.5,100.62,14283231.0
2022-10-18 20:30:00,101.54,102.35,99.23,100.8,14065435.0
2022-10-19 20:30:00,101.25,103.99,101.23,103.79,20921704.0
2022-10-20 20:30:00,104.32,105.0,103.41,103.93,17649025.0
2022-10-21 20:30:00,104.45,106.4,103.905,105.86,22814149.0
2022-10-24 20:30:00,105.66,107.68,105.12,106.6,17024239.0
2022-10-25 20:30:00,106.41,107.33,105.07,105.88,15719805.0
2022-10-26 20:30:00,106.26,107.83,106.0,107.14,17390414.0
2022-10-27 20:30:00,108.41,109.58,107.42,107.55,18214023.0
2022-10-28 20:30:00,109.46,111.21,108.12,110.7,28169441.0
2022-10-31 20:30:00,109.5,112.91,109.44,110.81,26401838.0
2022-11-01 20:30:00,112.37,112.57,110.65,111.91,22213143.0
2022-11-02 20:30:00,111.58,112.1,109.31,109.61,20661778.0
2022-11-03 20:30:00,108.58,111.82,108.31,111.1,17103672.0
2022-11-04 20:30:00,113.0,113.5,110.8,112.31,17541462.0
2022-11-07 21:30:00,112.41,113.99,112.13,113.64,16008044.0
2022-11-08 21:30:00,113.48,114.6642,112.595,114.0,14661028.0
2022-11-09 21:30:00,113.1,113.28,108.57,108.9,19522755.0
2022-11-10 21:30:00,110.19,110.7,107.5701,110.5,20146732.0
2022-11-11 21:30:00,112.58,114.5,112.49,113.95,20518854.0
2022-11-14 21:30:00,112.63,114.64,112.49,113.37,20858291.0
2022-11-15 21:30:00,113.8,114.53,112.87,114.13,19373750.0
2022-11-16 21:30:00,113.44,114.2599,111.86,112.91,13590973.0
2022-11-17 21:30:00,111.29,113.2,110.75,113.06,12435740.0
2022-11-18 21:30:00,110.9,112.48,109.61,112.08,15415025.0
2022-11-21 21:30:00,109.99,111.2041,107.48,110.97,20972978.0
2022-11-22 21:30:00,112.21,114.47,111.43,114.18,17719088.0
2022-11-23 21:30:00,112.32,113.9488,112.1,113.61,11546685.0
2022-11-25 21:30:00,113.88,114.61,113.06,113.21,7136013.0
2022-11-28 21:30:00,110.66,111.46,109.62,109.81,23017671.0
2022-11-29 21:30:00,110.61,111.8,109.792,110.54,14453174.0
2022-11-30 21:30:00,111.54,111.9,109.78,111.34,23158059.0
2022-12-01 21:30:00,111.64,112.07,110.18,110.8,14398314.0
2022-12-02 21:30:00,109.51,111.71,109.2,109.86,15248385.0
2022-12-05 21:30:00,110.7,111.36,105.94,106.85,19287746.0
2022-12-06 21:30:00,105.9,107.04,103.145,103.88,21196977.0
2022-12-07 21:30:00,103.78,104.8548,102.37,103.65,20061729.0
2022-12-08 21:30:00,106.28,106.795,103.71,104.42,21128762.0
2022-12-09 21:30:00,104.59,105.95,103.3,103.54,21298194.0
2022-12-12 21:30:00,103.83,106.24,103.585,106.09,20413173.0
2022-12-13 21:30:00,107.8,108.54,107.02,107.25,24305345.0
2022-12-14 21:30:00,107.99,108.3,105.75,106.46,17597334.0
2022-12-15 21:30:00,105.33,106.17,103.7,105.44,15367888.0
2022-12-16 21:30:00,103.69,105.58,103.1301,104.7,54596623.0
2022-12-19 21:30:00,105.26,106.2,104.38,105.17,13611124.0
2022-12-20 21:30:00,105.17,107.51,105.07,106.69,14680004.0
2022-12-21 21:30:00,108.29,108.585,107.16,108.06,13565365.0
2022-12-22 21:30:00,107.89,108.19,104.1,105.88,13215496.0
2022-12-23 21:30:00,106.95,108.74,106.9,108.68,11539448.0
2022-12-27 21:30:00,109.27,110.465,108.83,110.19,11962058.0
2022-12-28 21:30:00,109.91,110.0,107.902,108.38,10702075.0
2022-12-29 21:30:00,107.99,109.72,107.99,109.2,10534028.0
2022-12-30 21:30:00,108.61,110.5,108.61,110.3,11799640.0
2023-01-03 21:30:00,109.78,110.02,105.49,106.51,15146168.0
2023-01-04 21:30:00,104.8,107.155,104.76,106.82,18058396.0
2023-01-05 21:30:00,106.34,109.95,106.31,109.21,15946559.0
2023-01-06 21:30:00,110.08,111.99,109.67,110.53,16348131.0
2023-01-09 21:30:00,111.64,111.64,107.81,108.47,17964591.0
2023-01-10 21:30:00,109.79,110.33,108.005,110.09,15104595.0
2023-01-11 21:30:00,110.99,111.45,109.085,111.37,16710366.0
2023-01-12 21:30:00,111.82,113.74,111.74,113.22,15357321.0
2023-01-13 21:30:00,113.11,113.49,112.16,113.15,12011358.0
2023-01-17 21:30:00,113.41,114.08,112.67,112.93,16542201.0
2023-01-18 21:30:00,113.26,114.12,110.3987,110.61,16399690.0
2023-01-19 21:30:00,110.07,112.13,109.58,111.32,12928021.0
2023-01-20 21:30:00,111.36,113.44,110.61,113.35,16515614.0
2023-01-23 21:30:00,113.64,114.59,112.64,112.76,16584422.0
2023-01-24 21:30:00,112.655,114.12,112.63,113.81,13583025.0
2023-01-25 21:30:00,113.23,113.65,111.39,113.21,11912947.0
2023-01-26 21:30:00,114.72,117.78,114.335,117.76,21019678.0
2023-01-27 21:30:00,116.95,117.67,115.39,115.61,15179207.0
2023-01-30 21:30:00,115.09,115.49,113.1519,113.56,18672053.0
2023-01-31 21:30:00,112.1,116.4,110.43,116.01,27861849.0
2023-02-01 21:30:00,115.83,117.38,113.34,114.74,19464873.0
2023-02-02 21:30:00,114.85,115.07,109.83,111.15,24562123.0
2023-02-03 21:30:00,111.9,114.11,111.56,111.92,20226609.0
2023-02-06 21:30:00,112.36,113.09,110.32,111.73,13855205.0
2023-02-07 21:30:00,112.39,115.31,112.021,114.92,16013314.0
2023-02-08 21:30:00,115.05,115.83,113.85,113.92,18459678.0
2023-02-09 21:30:00,114.62,116.24,114.18,114.35,17439311.0
2023-02-10 21:30:00,116.51,119.63,116.16,119.17,24918616.0
2023-02-13 21:30:00,117.72,118.18,115.9,117.8,14536241.0
2023-02-14 21:30:00,117.01,117.81,116.0169,116.42,12078992.0
2023-02-15 21:30:00,115.72,116.09,114.14,116.07,13673360.0
2023-02-16 21:30:00,115.31,116.78,114.8,115.73,11360604.0
2023-02-17 21:30:00,114.19,114.19,110.9799,111.28,20758331.0
2023-02-21 21:30:00,110.81,112.38,110.81,111.17,14469431.0
2023-02-22 21:30:00,110.48,110.97,108.64,109.73,13973841.0
2023-02-23 21:30:00,110.73,111.83,109.9,110.74,11289402.0
2023-02-24 21:30:00,109.33,110.96,109.02,110.75,14351036.0
2023-02-27 21:30:00,110.8,111.26,109.9601,110.55,11710453.0
2023-02-28 21:30:00,111.24,111.36,109.22,109.91,18107031.0
2023-03-01 21:30:00,109.31,111.86,109.24,110.89,13199955.0
2023-03-02 21:30:00,110.615,111.695,110.17,111.4,10343084.0
2023-03-03 21:30:00,110.05,113.37,109.95,112.81,13006713.0
2023-03-06 21:30:00,111.99,113.84,111.87,113.81,14347410.0
2023-03-07 21:30:00,112.81,113.17,111.17,111.61,11525289.0
2023-03-08 21:30:00,111.23,112.42,109.065,109.98,13509818.0
2023-03-09 21:30:00,110.87,112.23,109.03,109.13,12961244.0
2023-03-10 21:30:00,109.56,111.035,107.15,107.78,15796424.0
2023-03-13 20:30:00,105.34,107.86,103.72,106.54,20745625.0
2023-03-14 20:30:00,106.35,109.01,104.96,106.94,18263512.0
2023-03-15 20:30:00,102.82,104.2,100.2203,101.62,25733781.0
2023-03-16 20:30:00,99.11,101.68,98.02,101.03,27476785.0
2023-03-17 20:30:00,100.6,101.6149,99.14,99.84,43199470.0
2023-03-20 20:30:00,99.63,102.48,99.5,102.45,32042306.0
2023-03-21 20:30:00,104.17,107.28,104.13,107.04,31592310.0
2023-03-22 20:30:00,106.8,107.175,104.56,104.59,14952666.0
2023-03-23 20:30:00,105.36,106.34,102.44,103.41,14385865.0
2023-03-24 20:30:00,101.47,103.85,100.9132,103.53,13405812.0
2023-03-27 20:30:00,104.74,106.48,103.91,105.8,14805911.0
2023-03-28 20:30:00,105.44,107.65,105.19,107.12,11047587.0
2023-03-29 20:30:00,108.06,109.16,107.49,108.96,14219122.0
2023-03-30 20:30:00,109.55,109.57,108.52,109.49,11578171.0
2023-03-31 20:30:00,109.68,110.17,109.0499,109.66,14417961.0
2023-04-03 20:30:00,113.39,116.85,113.12,116.13,28087681.0
2023-04-04 20:30:00,116.26,116.7,114.17,115.02,16365489.0
2023-04-05 20:30:00,115.35,117.0,114.31,116.99,16479469.0
2023-04-06 20:30:00,116.86,117.18,114.77,115.05,15777957.0
2023-04-10 20:30:00,114.78,116.18,114.17,114.54,13006552.0
2023-04-11 20:30:00,114.96,116.1999,114.38,115.35,11758461.0
2023-04-12 20:30:00,116.16,116.59,114.93,115.23,10919022.0
2023-04-13 20:30:00,114.6,115.89,114.13,115.77,12399652.0
2023-04-14 20:30:00,115.9,116.66,115.12,116.05,11530828.0
2023-04-17 20:30:00,115.49,116.51,114.42,114.7,13260352.0
2023-04-18 20:30:00,114.39,117.21,114.3,116.94,17436140.0
2023-04-19 20:30:00,116.08,116.9,115.77,116.57,10682605.0
2023-04-20 20:30:00,115.125,115.68,113.2298,115.64,17038747.0
2023-04-21 20:30:00,116.49,116.88,115.26,116.01,14315329.0
2023-04-24 20:30:00,115.92,118.885,115.88,118.2,15831314.0
2023-04-25 20:30:00,117.55,117.74,115.63,116.52,12179825.0
2023-04-26 20:30:00,116.03,117.09,114.68,115.45,15566086.0
2023-04-27 20:30:00,115.62,117.01,114.8818,116.83,16279188.0
2023-04-28 20:30:00,117.25,119.92,116.83,118.34,24381946.0
2023-05-01 20:30:00,115.99,117.3,114.45,114.67,17354987.0
2023-05-02 20:30:00,113.94,113.94,109.29,110.1,24324102.0
2023-05-03 20:30:00,109.08,109.81,107.755,107.93,16212343.0
2023-05-04 20:30:00,107.9,108.75,105.91,106.04,17177150.0
2023-05-05 20:30:00,108.55,109.43,107.53,108.68,14968197.0
2023-05-08 20:30:00,110.5,110.97,109.04,109.11,11187752.0
2023-05-09 20:30:00,108.34,110.23,108.21,109.14,11370769.0
2023-05-10 20:30:00,109.74,110.01,106.71,107.74,14884793.0
2023-05-11 20:30:00,106.49,106.82,104.933,105.79,17165897.0
2023-05-12 20:30:00,106.31,107.01,104.775,105.78,12613254.0
2023-05-15 20:30:00,105.51,105.925,104.58,105.07,13715576.0
2023-05-16 20:30:00,104.63,104.81,102.02,102.52,14800200.0
2023-05-17 20:30:00,103.39,105.23,102.85,104.82,14064742.0
2023-05-18 20:30:00,104.55,105.91,104.13,105.77,12005609.0
2023-05-19 20:30:00,106.57,107.05,105.82,106.26,13359630.0
2023-05-22 20:30:00,105.84,107.04,104.88,104.97,12882000.0
2023-05-23 20:30:00,105.99,108.22,105.75,106.4,14394440.0
2023-05-24 20:30:00,107.38,108.51,106.73,107.59,16340293.0
2023-05-25 20:30:00,105.94,106.43,104.71,105.66,14316463.0
2023-05-26 20:30:00,106.47,106.95,104.8327,104.97,12370326.0
2023-05-30 20:30:00,103.29,104.12,102.61,104.04,11938025.0
2023-05-31 20:30:00,102.29,103.04,101.74,102.18,24926117.0
2023-06-01 20:30:00,101.75,105.58,101.26,103.36,13551936.0
2023-06-02 20:30:00,105.16,106.13,104.53,105.76,14112041.0
2023-06-05 20:30:00,107.19,107.29,105.09,105.29,12248272.0
2023-06-06 20:30:00,104.15,106.27,103.98,106.15,12209768.0
2023-06-07 20:30:00,106.79,108.89,106.73,108.53,16027086.0
2023-06-08 20:30:00,108.77,109.14,105.9,108.19,13517919.0
2023-06-09 20:30:00,108.455,108.61,107.16,107.39,12252531.0
2023-06-12 20:30:00,105.81,107.06,105.555,106.42,14115160.0
2023-06-13 20:30:00,107.38,108.34,106.275,106.44,13533780.0
2023-06-14 20:30:00,107.45,108.11,104.39,105.16,16627681.0
2023-06-15 20:30:00,105.5,107.03,105.44,105.89,16224117.0
2023-06-16 20:30:00,106.36,106.77,104.955,105.13,43128871.0
2023-06-20 20:30:00,104.68,104.77,102.12,102.72,17519379.0
2023-06-21 20:30:00,102.5,104.63,102.33,103.87,13285741.0
2023-06-22 20:30:00,102.84,103.885,102.65,103.3,12458807.0
2023-06-23 20:30:00,102.59,102.82,101.62,102.4,17933599.0
2023-06-26 20:30:00,102.2,104.905,102.2,104.29,14283407.0
2023-06-27 20:30:00,104.045,104.61,103.27,104.55,13227486.0
2023-06-28 20:30:00,104.305,105.82,103.2,105.4,13084062.0
2023-06-29 20:30:00,105.66,106.73,105.13,106.7,11364436.0
2023-06-30 20:30:00,107.32,107.875,106.8101,107.25,13544664.0
2023-07-03 20:30:00,107.49,108.46,107.07,107.46,7396992.0
2023-07-05 20:30:00,107.63,107.92,106.1,106.91,12491205.0
2023-07-06 20:30:00,105.09,105.72,102.43,102.92,17964883.0
2023-07-07 20:30:00,101.92,104.0,101.56,103.16,21929158.0
2023-07-10 20:30:00,102.97,104.75,102.75,104.69,14877615.0
2023-07-11 20:30:00,105.26,106.16,104.81,105.97,12581080.0
2023-07-12 20:30:00,107.0,107.65,106.13,106.49,13238236.0
2023-07-13 20:30:00,105.97,106.23,103.32,104.54,26826838.0
2023-07-14 20:30:00,104.05,104.05,100.53,100.94,28181920.0
2023-07-17 20:30:00,100.72,101.665,100.22,101.38,18055849.0
2023-07-18 20:30:00,100.92,102.2,100.34,100.92,24617795.0
2023-07-19 20:30:00,101.05,102.4,100.8,101.62,15556541.0
